                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.65551,                0.35622,                0.81999,                0.91798,                0.94337,                0.94832,                0.64813,                0.99908,                0.44121,                 0.8594,             0.00075382,             0.00075382,             0.00075382
                     86,                0.63931,                0.35606,                0.80817,                0.90603,                 0.9375,                0.93787,                0.65655,                0.97652,                0.41619,                 0.8568,             0.00074282,             0.00074282,             0.00074282
                     87,                0.60894,                 0.3413,                0.81575,                0.89511,                0.92969,                0.93137,                0.65847,                0.94784,                  0.414,                0.85585,             0.00073181,             0.00073181,             0.00073181
                     88,                0.61308,                0.34433,                0.80577,                0.89305,                 0.9375,                0.93834,                0.65861,                0.96951,                0.44768,                0.85411,             0.00072081,             0.00072081,             0.00072081
                     89,                0.61848,                0.34262,                0.81566,                 0.9266,                0.94531,                0.95155,                0.65741,                0.98338,                0.43771,                 0.8584,             0.00070981,             0.00070981,             0.00070981
                     90,                0.63453,                0.35178,                0.81449,                0.92034,                0.92969,                0.94873,                0.65251,                0.99945,                0.41542,                0.86268,             0.00069881,             0.00069881,             0.00069881
                     91,                0.62934,                0.34536,                0.80553,                0.92643,                0.92969,                0.94257,                0.64999,                0.98841,                0.42762,                0.86019,              0.0006878,              0.0006878,              0.0006878
                     92,                0.61209,                 0.3487,                0.81224,                0.92136,                0.89885,                0.93884,                0.65356,                0.98769,                0.43006,                0.85396,              0.0006768,              0.0006768,              0.0006768
                     93,                0.64406,                0.35305,                0.81661,                0.91197,                0.92724,                0.95598,                0.64734,                0.98766,                0.44535,                0.85939,              0.0006658,              0.0006658,              0.0006658
                     94,                0.62518,                0.34765,                0.80602,                0.93353,                0.92188,                0.94454,                0.65289,                 1.0026,                0.43962,                0.86084,              0.0006548,              0.0006548,              0.0006548
                     95,                0.61229,                0.34681,                0.80867,                0.92038,                0.91406,                 0.9433,                0.65572,                0.99725,                 0.4475,                0.85784,              0.0006438,              0.0006438,              0.0006438
